cloudBase,cloudCeiling,cloudCover,dewPoint,evapotranspiration,freezingRainIntensity,humidity,iceAccumulation,iceAccumulationLwe,precipitationProbability,pressureSurfaceLevel,rainAccumulation,rainAccumulationLwe,rainIntensity,sleetAccumulation,sleetAccumulationLwe,sleetIntensity,snowAccumulation,snowAccumulationLwe,snowIntensity,temperature,temperatureApparent,uvHealthConcern,uvIndex,visibility,weatherCode,windDirection,windGust,windSpeed,time,location
0.37,,48,11.0,0.039,0,82,0,0,0,933.54,0.0,0.0,0.0,0,0,0,0,0,0,13.88,13.88,0,0,9.99,1101,199.63,9.13,4.63,2023-10-28T20:00:00Z,"Madrid, Comunidad de Madrid, España"
0.37,,44,11.0,0.036,0,82,0,0,0,933.51,0.0,0.0,0.0,0,0,0,0,0,0,13.88,13.88,0,0,9.07,1101,190.13,8.88,4.38,2023-10-28T21:00:00Z,"Madrid, Comunidad de Madrid, España"
0.38,0.38,75,10.88,0.036,0,82,0,0,0,933.78,0.51,0.51,0.0,0,0,0,0,0,0,13.88,13.88,0,0,10.24,1001,179.0,8.81,4.38,2023-10-28T22:00:00Z,"Madrid, Comunidad de Madrid, España"
0.13,0.13,75,11.88,0.034,0,93,0,0,0,933.73,0.0,0.0,0.0,0,0,0,0,0,0,13.0,13.0,0,0,13.42,1001,239.5,10.5,4.13,2023-10-28T23:00:00Z,"Madrid, Comunidad de Madrid, España"
0.13,0.13,75,11.88,0.032,0,93,0,0,0,933.3,0.0,0.0,0.0,0,0,0,0,0,0,13.0,13.0,0,0,9.99,1001,198.13,11.38,4.81,2023-10-29T00:00:00Z,"Madrid, Comunidad de Madrid, España"
0.12,0.12,97,11.88,0.024,0,94,0,0,0,933.36,0.0,0.0,0.0,0,0,0,0,0,0,12.88,12.88,0,0,9.82,1001,177.81,10.63,4.38,2023-10-29T01:00:00Z,"Madrid, Comunidad de Madrid, España"
0.24,0.24,97,11.0,0.027,0,88,0,0,0,932.98,0.0,0.0,0.0,0,0,0,0,0,0,12.88,12.88,0,0,9.99,1001,188.88,9.5,3.69,2023-10-29T02:00:00Z,"Madrid, Comunidad de Madrid, España"
0.12,0.12,97,11.88,0.027,0,94,0,0,0,932.48,0.0,0.0,0.0,0,0,0,0,0,0,12.88,12.88,0,0,9.99,1001,188.63,10.63,3.81,2023-10-29T03:00:00Z,"Madrid, Comunidad de Madrid, España"
0.24,0.24,97,11.0,0.026,0,88,0,0,0,932.22,0.0,0.0,0.0,0,0,0,0,0,0,13.0,13.0,0,0,10.54,1001,198.63,10.38,4.81,2023-10-29T04:00:00Z,"Madrid, Comunidad de Madrid, España"
0.23,0.23,94,11.0,0.025,0,89,0,0,0,932.46,0.0,0.0,0.0,0,0,0,0,0,0,12.88,12.88,0,0,11.15,1001,178.0,10.69,3.81,2023-10-29T05:00:00Z,"Madrid, Comunidad de Madrid, España"
0.23,0.23,75,10.88,0.028,0,88,0,0,0,932.18,0.0,0.0,0.0,0,0,0,0,0,0,12.88,12.88,0,0,9.99,1001,169.19,10.63,3.38,2023-10-29T06:00:00Z,"Madrid, Comunidad de Madrid, España"
