facts,success
"Chocolate contains a substance known as theobromine (similar to caffeine) which can kill dogs or, at the very least, make them violently ill.",True
"If never spayed or neutered, a female dog, her mate, and their puppies could produce over 66,000 dogs in 6 years!",True
"Touch is the first sense the dog develops. The entire body, including the paws, is covered with touch-sensitive nerve endings.",True
"Pugs and other dogs with short muzzles have a peculiar head-type known as ""Brachycephalic.""",True
Puppies are sometimes rejected by their mother if they are born by cesarean and cleaned up before being given back to her.,True
Dogs were first domesticated by cavemen.,True
"Franklin Roosevelt spent $15,000 for a destroyer to pick up his Scottie in the Aleutian Islands.",True
"Watch that plate of cookies! A Dog’s sense of smell is 10,000 – 100,000 times more acute as that of humans.",True
The bible mentions dogs 14 times.,True
"Dogs with a flesh colored nose is said to have a ""Dudley Nose.""",True
Some stray Russian dogs have figured out how to use the subway system in order to travel to more populated areas in search of food.,True
A dog can locate the source of a sound in 1/600 of a second and can hear sounds four times farther away than a human can.,True
"Dogs have three eyelids, including one to keep their eyes moist and protected.",True
Dogs normally have between one to sixteen or even more puppies.,True
A dog's average body temperature is 101.2 degrees.,True
Dogs are mentioned in the Bible more than 35 times.,True
"Like human babies, Chihuahuas are born with a soft spot in their skull which closes with age.",True
"In 2002 alone, more people in the U.S. were killed by dogs than by sharks in the past 100 years.",True
The best dog to reportedly attract a date is the Golden Retriever. The worst is the Pit Bull.,True
"'Frito Feet' is the name of the phenomenon in which the bacteria on a dog's paws cause them to smell like corn chips. Because a pup's feet are in constant contact with the ground, they pick up tons of microorganisms in their paws. When dogs cool off by sweating through the pads of their feet, the combo of moisture and bacteria releaces a nutty, popcorn-like aroma. Basically it's dog B.O.",True
"The Labrador Retriever is the #1 favorite breed in the U.S., Canada, and the U.K.",True
"The oldest known dog bones were found in Asia and date as far back as 10,000 B.C. The first identifiable dog breed appeared about 9000 B.C. and was probably a type of Greyhound dog used for hunting.",True
"In Croatia, scientists discovered that lampposts were falling down because a chemical in the urine of male dogs was rotting the metal.",True
President Lyndon Johnson had two beagles named Him and Her.,True
Dog noses are also very cute and easy to boop.,True
The Alaskan Malamute can withstand temperatures as low as 70 degrees below zero.,True
"This pup, Nesbit, earned over one million Delta airline miles in his life and had his own frequent flier card.",True
